id_jur,nm_jur,nm_intl_jur,u_sma,u_smk,u_pt,u_slb,id_jenj_didik,id_induk_jurusan,id_kel_bidang
"21403     ","Mesin Otomotif",NULL,0,0,1,0,22,NULL,12
"21404     ","Mesin Perkakas",NULL,0,0,1,0,22,NULL,12
"21405     ","Teknik Pendingin dan Tata Udara",NULL,0,0,1,0,22,NULL,12
"21406     ","Teknik Konversi Energi",NULL,0,0,1,0,22,NULL,12
"21407     ",Manufaktur,NULL,0,0,1,0,22,NULL,12
"21408     ","Perawatan Dan Perbaikan Mesin",NULL,0,0,1,0,22,NULL,12
"21409     ","Perancangan Mekanik",NULL,0,0,1,0,22,NULL,12
"21410     ",Pengecoran,NULL,0,0,1,0,22,NULL,12
"21411     ","Teknik Perancangan Mekanik dan Mesin",NULL,0,0,1,0,22,NULL,12
"21412     ",Mekatronika,NULL,0,0,1,0,22,NULL,12
"21413     ","Alat Berat",NULL,0,0,1,0,22,NULL,12
"21501     ","Teknik Mesin",NULL,0,0,1,0,21,NULL,12
"21502     ","Teknik Mesin Luar Domisili",NULL,0,0,1,0,21,NULL,12
"21503     ","Teknik Otomotif  K. Keerom",NULL,0,0,1,0,21,NULL,12
"21504     ","Teknik Perawatan Mesin dan Perawatan Industri ",NULL,0,0,1,0,21,NULL,12
"21505     ","Teknik Otomotif PDD 1",NULL,0,0,1,0,21,NULL,12
"21506     ","Teknik Konversi Energi, Kampus di Pusat Pengembangan & Pelat",NULL,0,0,1,0,21,NULL,12
"21507     ","Teknik Mesin PDD 2",NULL,0,0,1,0,21,NULL,12
"21508     ","Teknik Pemeliharaan Mesin, Kampus Karawang.",NULL,0,0,1,0,21,NULL,12
"21509     ","Teknik Perancangan Mekanik Umum, Kampus Karawang.",NULL,0,0,1,0,21,NULL,12
"21512     ","Teknik Mekatronika (Kampus Ponorogo)",NULL,0,0,1,0,21,NULL,12
"21513     ","Alat Berat, Kampus di Pusat Pengembangan dan Pelatihan PTK",NULL,0,0,1,0,21,NULL,12
"21514     ","Otomasi Perkatoran",NULL,0,0,1,0,21,NULL,12
"21521     ","Teknik Operasional Mesin",NULL,0,0,1,0,21,NULL,12
"21523     ","Teknik Otomotif Elektronik K. Trenggalek",NULL,0,0,1,0,21,NULL,12
"21573     ","Teknik Otomotif Kampus Kabupaten Manokwari",NULL,0,0,1,0,21,NULL,12
"21601     ","Teknik Mesin",NULL,0,0,1,0,20,NULL,12
"21602     ","Teknik Mesin",NULL,0,0,1,0,20,NULL,12
"21603     ","Operator dan Peralatan Alat Berat",NULL,0,0,1,0,20,NULL,12
